elapse (ns), size, refs/vals, permutation, type, i
1912000,512, refs, rand, Stencil-State,0
1913000,512, refs, linear, Synth,0
1915000,64, refs, rand, Stencil-Flow,0
1918000,2048, refs, rand, Flow,0
1923000,4096, refs, linear, Synth,0
1932000,64, refs, linear, Stencil-Flow,0
1934000,64, refs, rand, Stencil-Flow,0
1943000,512, refs, linear, Stencil-State,0
1951000,256, refs, rand, Flow,0
1954000,512, refs, rand, Stencil-State,0
1957000,1024, refs, rand, Stencil-Flow,0
1959000,256, refs, rand, Flow,0
1960000,2048, refs, linear, Synth,0
1966000,256, refs, rand, Flow,0
1967000,1024, refs, rand, Stencil-Flow,0
1971000,64, refs, rand, Stencil-Flow,0
1973000,1024, refs, rand, Stencil-State,0
1973000,2048, refs, rand, Native,0
1976000,64, refs, linear, Stencil-Flow,0
1979000,64, refs, linear, Stencil-Flow,0
1984000,128, refs, rand, Stencil-State,0
1992000,256, refs, rand, Flow,0
1994000,2048, refs, rand, Synth,0
1996000,1024, refs, rand, Stencil-State,0
1996000,64, refs, rand, Stencil-Flow,0
2002000,64, refs, linear, Stencil-Flow,0
2005000,64, refs, rand, Stencil-Flow,0
2007000,128, refs, rand, Flow,0
2021000,2048, refs, linear, Native,0
2032000,64, refs, linear, Stencil-Flow,0
2036000,512, refs, linear, Stencil-State,0
2053000,512, refs, linear, Stencil-State,0
2060000,8, refs, rand, Stencil-State,0
2060000,2048, refs, linear, Native,0
2067000,4096, refs, rand, Native,0
2067000,2048, refs, rand, Flow,0
2067000,2048, refs, linear, Synth,0
2079000,1024, refs, rand, Stencil-State,0
2081000,2048, refs, rand, Stencil-State,0
2083000,128, refs, rand, Flow,0
2092000,2048, refs, rand, Flow,0
2096000,8, refs, rand, Stencil-State,0
2103000,1024, refs, linear, Synth,0
2103000,2048, refs, rand, Flow,0
2112000,128, refs, rand, Flow,0
2114000,8, refs, rand, Stencil-State,0
2118000,2048, refs, rand, Synth,0
2125000,2048, refs, linear, Native,0
2136000,512, refs, linear, Stencil-State,0
2152000,2048, refs, linear, Synth,0
2158000,128, refs, rand, Flow,0
2160000,128, refs, rand, Flow,0
2161000,8, refs, rand, Stencil-State,0
2170000,512, refs, linear, Stencil-State,0
2182000,256, refs, linear, Synth,0
2192000,256, refs, linear, Synth,0
2192000,256, refs, linear, Stencil-State,0
2201000,2048, refs, linear, Synth,0
2207000,4096, refs, rand, Native,0
2220000,128, refs, rand, Flow,0
2232000,256, refs, linear, Synth,0
2235000,1024, refs, linear, Synth,0
2238000,1024, refs, rand, Stencil-State,0
2253000,8, refs, rand, Stencil-State,0
2254000,1024, refs, rand, Flow,0
2261000,256, refs, linear, Synth,0
2261000,8, refs, rand, Stencil-State,0
2269000,2048, refs, rand, Flow,0
2270000,256, refs, linear, Synth,0
2274000,2048, refs, linear, Native,0
2278000,1024, refs, rand, Stencil-State,0
2279000,1024, refs, linear, Synth,0
2283000,256, refs, linear, Stencil-State,0
2286000,2048, refs, linear, Stencil-Flow,0
2287000,1024, refs, linear, Synth,0
2290000,4096, refs, rand, Native,0
2302000,1024, refs, linear, Synth,0
2304000,1024, refs, rand, Stencil-State,0
2332000,4096, refs, linear, Native,0
2348000,1024, refs, linear, Stencil-State,0
2355000,4096, refs, rand, Native,0
2358000,2048, refs, linear, Stencil-Flow,0
2370000,256, refs, rand, Stencil-State,0
2372000,4096, refs, linear, Native,0
2381000,256, refs, linear, Stencil-State,0
2389000,1024, refs, linear, Synth,0
2408000,1024, refs, linear, Stencil-State,0
2422000,256, refs, rand, Stencil-State,0
2445000,4096, refs, linear, Native,0
2452000,256, refs, rand, Stencil-State,0
2470000,1024, refs, rand, Flow,0
2478000,256, refs, linear, Stencil-State,0
2489000,2048, refs, linear, Stencil-Flow,0
2506000,1024, refs, rand, Flow,0
2507000,256, refs, rand, Stencil-State,0
2512000,1024, refs, rand, Flow,0
2544000,256, refs, linear, Synth,0
2556000,256, refs, rand, Stencil-State,0
2557000,2048, refs, linear, Flow,0
2564000,256, refs, linear, Stencil-State,0
2568000,4096, refs, linear, Native,0
2570000,2048, refs, rand, Flow,0
2579000,4096, refs, linear, Synth,0
2587000,256, refs, rand, Stencil-State,0
2589000,4096, refs, linear, Flow,0
2604000,1024, refs, rand, Flow,0
2628000,2048, refs, linear, Stencil-Flow,0
2644000,1024, refs, rand, Stencil-Flow,0
2644000,4096, refs, rand, Synth,0
2665000,4096, refs, linear, Synth,0
2700000,1024, refs, linear, Stencil-State,0
2742000,1024, refs, linear, Stencil-State,0
2765000,1024, refs, linear, Stencil-State,0
2765000,2048, refs, linear, Native,0
2779000,1024, refs, linear, Stencil-State,0
2789000,4096, refs, rand, Synth,0
2814000,2048, refs, rand, Stencil-Flow,0
2815000,2048, refs, linear, Flow,0
2856000,4096, refs, linear, Synth,0
2872000,2048, refs, rand, Stencil-State,0
2884000,2048, refs, linear, Stencil-Flow,0
2886000,2048, refs, rand, Stencil-State,0
2897000,4096, refs, rand, Flow,0
2910000,2048, refs, rand, Stencil-State,0
2918000,2048, refs, linear, Native,0
2921000,2048, refs, rand, Stencil-Flow,0
2940000,512, refs, rand, Flow,0
2952000,256, refs, linear, Stencil-State,0
2952000,512, refs, rand, Flow,0
2971000,4096, refs, rand, Flow,0
2977000,512, refs, linear, Flow,0
2987000,256, refs, linear, Flow,0
2993000,256, refs, linear, Flow,0
2998000,512, refs, rand, Flow,0
3002000,2048, refs, rand, Stencil-Flow,0
3002000,512, refs, rand, Flow,0
3006000,2048, refs, linear, Flow,0
3007000,2048, refs, linear, Stencil-Flow,0
3018000,4096, refs, rand, Synth,0
3021000,4096, refs, rand, Native,0
3024000,512, refs, rand, Flow,0
3028000,4096, refs, rand, Flow,0
3028000,512, refs, linear, Flow,0
3029000,4096, refs, rand, Synth,0
3051000,256, refs, linear, Flow,0
3070000,256, refs, linear, Flow,0
3075000,512, refs, linear, Flow,0
3089000,256, refs, linear, Flow,0
3094000,2048, refs, rand, Stencil-State,0
3097000,512, refs, linear, Flow,0
3125000,512, refs, linear, Flow,0
3136000,512, refs, linear, Flow,0
3152000,512, refs, rand, Flow,0
3160000,1024, refs, rand, Flow,0
3177000,256, refs, linear, Flow,0
3188000,4096, refs, rand, Flow,0
3205000,2048, refs, rand, Stencil-Flow,0
3283000,2048, refs, rand, Stencil-Flow,0
3314000,2048, refs, linear, Flow,0
3320000,2048, refs, linear, Flow,0
3348000,2048, refs, rand, Stencil-State,0
3385000,4096, refs, rand, Flow,0
3422000,4096, refs, rand, Native,0
3525000,2048, refs, linear, Stencil-State,0
3534000,4096, refs, linear, Native,0
3541000,4096, refs, linear, Synth,0
3542000,2048, refs, linear, Flow,0
3595000,1024, refs, rand, Stencil-Flow,0
3602000,4096, refs, rand, Synth,0
3630000,1024, refs, linear, Flow,0
3634000,2048, refs, linear, Stencil-State,0
3660000,128, refs, rand, Stencil-Flow,0
3660000,1024, refs, linear, Flow,0
3698000,128, refs, linear, Stencil-Flow,0
3705000,1024, refs, linear, Flow,0
3707000,2048, refs, linear, Stencil-State,0
3718000,128, refs, linear, Stencil-Flow,0
3727000,8192, refs, rand, Native,0
3729000,1024, refs, linear, Flow,0
3735000,1024, refs, linear, Flow,0
3738000,128, refs, linear, Stencil-Flow,0
3753000,8192, refs, rand, Native,0
3771000,128, refs, linear, Stencil-Flow,0
3786000,512, refs, rand, Stencil-Flow,0
3811000,128, refs, rand, Stencil-Flow,0
3819000,128, refs, linear, Stencil-Flow,0
3830000,128, refs, rand, Stencil-Flow,0
3831000,2048, refs, linear, Stencil-State,0
3838000,128, refs, rand, Stencil-Flow,0
3841000,512, refs, rand, Stencil-Flow,0
3849000,512, refs, rand, Stencil-Flow,0
3851000,128, refs, rand, Stencil-Flow,0
3867000,8192, refs, linear, Native,0
3899000,512, refs, rand, Stencil-Flow,0
3909000,128, refs, linear, Stencil-Flow,0
3936000,512, refs, rand, Stencil-Flow,0
3944000,512, refs, rand, Stencil-Flow,0
3967000,8192, refs, rand, Native,0
3981000,128, refs, rand, Stencil-Flow,0
3981000,512, refs, linear, Stencil-Flow,0
3981000,8192, refs, linear, Native,0
3984000,512, refs, linear, Stencil-Flow,0
3989000,4096, refs, linear, Stencil-State,0
4010000,8192, refs, linear, Native,0
4017000,8192, refs, linear, Native,0
4038000,256, refs, rand, Stencil-Flow,0
4051000,4096, refs, linear, Flow,0
4067000,512, refs, linear, Stencil-Flow,0
4071000,512, refs, linear, Stencil-Flow,0
4074000,1024, refs, linear, Flow,0
4118000,512, refs, linear, Stencil-Flow,0
4133000,512, refs, linear, Stencil-Flow,0
4174000,1024, refs, linear, Stencil-Flow,0
4180000,256, refs, rand, Stencil-Flow,0
4201000,2048, refs, linear, Stencil-State,0
4213000,4096, refs, rand, Synth,0
4215000,4096, refs, linear, Flow,0
4241000,4096, refs, linear, Stencil-Flow,0
4245000,256, refs, rand, Stencil-Flow,0
4248000,1024, refs, linear, Stencil-Flow,0
4263000,4096, refs, rand, Stencil-Flow,0
4285000,1024, refs, linear, Stencil-Flow,0
4314000,1024, refs, rand, Stencil-Flow,0
4319000,4096, refs, linear, Flow,0
4339000,4096, refs, linear, Synth,0
4361000,8192, refs, rand, Native,0
4361000,1024, refs, linear, Stencil-Flow,0
4370000,2048, refs, linear, Stencil-State,0
