elapse (ns), size, refs/vals, permutation, type, i
134000, 8, refs, rand, Synth, 3
140000, 8, refs, rand, Synth, 4
137000, 8, refs, rand, Synth, 5
137000, 8, refs, rand, Synth, 6
140000, 8, refs, rand, Synth, 7
139000, 8, refs, rand, Synth, 8
139000, 8, refs, rand, Synth, 9
229000, 8, refs, rand, Stencil, 0
281000, 8, refs, rand, Stencil, 1
368000, 8, refs, rand, Stencil, 2
235000, 8, refs, rand, Stencil, 3
200000, 8, refs, rand, Stencil, 4
200000, 8, refs, rand, Stencil, 5
190000, 8, refs, rand, Stencil, 6
236000, 8, refs, rand, Stencil, 7
196000, 8, refs, rand, Stencil, 8
255000, 8, refs, rand, Stencil, 9
154000, 16, refs, linear, Flow, 0
208000, 16, refs, linear, Flow, 1
153000, 16, refs, linear, Flow, 2
152000, 16, refs, linear, Flow, 3
152000, 16, refs, linear, Flow, 4
217000, 16, refs, linear, Flow, 5
209000, 16, refs, linear, Flow, 6
222000, 16, refs, linear, Flow, 7
206000, 16, refs, linear, Flow, 8
274000, 16, refs, linear, Flow, 9
146000, 16, refs, linear, Native, 0
147000, 16, refs, linear, Native, 1
146000, 16, refs, linear, Native, 2
166000, 16, refs, linear, Native, 3
107000, 16, refs, linear, Native, 4
86000, 16, refs, linear, Native, 5
87000, 16, refs, linear, Native, 6
83000, 16, refs, linear, Native, 7
87000, 16, refs, linear, Native, 8
81000, 16, refs, linear, Native, 9
129000, 16, refs, linear, Synth, 0
197000, 16, refs, linear, Synth, 1
212000, 16, refs, linear, Synth, 2
126000, 16, refs, linear, Synth, 3
174000, 16, refs, linear, Synth, 4
174000, 16, refs, linear, Synth, 5
123000, 16, refs, linear, Synth, 6
176000, 16, refs, linear, Synth, 7
175000, 16, refs, linear, Synth, 8
126000, 16, refs, linear, Synth, 9
317000, 16, refs, linear, Stencil, 0
233000, 16, refs, linear, Stencil, 1
356000, 16, refs, linear, Stencil, 2
377000, 16, refs, linear, Stencil, 3
202000, 16, refs, linear, Stencil, 4
243000, 16, refs, linear, Stencil, 5
201000, 16, refs, linear, Stencil, 6
268000, 16, refs, linear, Stencil, 7
207000, 16, refs, linear, Stencil, 8
212000, 16, refs, linear, Stencil, 9
178000, 16, refs, rand, Flow, 0
179000, 16, refs, rand, Flow, 1
128000, 16, refs, rand, Flow, 2
178000, 16, refs, rand, Flow, 3
179000, 16, refs, rand, Flow, 4
179000, 16, refs, rand, Flow, 5
180000, 16, refs, rand, Flow, 6
179000, 16, refs, rand, Flow, 7
179000, 16, refs, rand, Flow, 8
178000, 16, refs, rand, Flow, 9
128000, 16, refs, rand, Native, 0
429000, 16, refs, rand, Native, 1
79000, 16, refs, rand, Native, 2
123000, 16, refs, rand, Native, 3
151000, 16, refs, rand, Native, 4
124000, 16, refs, rand, Native, 5
116000, 16, refs, rand, Native, 6
123000, 16, refs, rand, Native, 7
124000, 16, refs, rand, Native, 8
124000, 16, refs, rand, Native, 9
171000, 16, refs, rand, Synth, 0
166000, 16, refs, rand, Synth, 1
169000, 16, refs, rand, Synth, 2
170000, 16, refs, rand, Synth, 3
127000, 16, refs, rand, Synth, 4
128000, 16, refs, rand, Synth, 5
128000, 16, refs, rand, Synth, 6
170000, 16, refs, rand, Synth, 7
167000, 16, refs, rand, Synth, 8
168000, 16, refs, rand, Synth, 9
198000, 16, refs, rand, Stencil, 0
154000, 16, refs, rand, Stencil, 1
191000, 16, refs, rand, Stencil, 2
240000, 16, refs, rand, Stencil, 3
212000, 16, refs, rand, Stencil, 4
219000, 16, refs, rand, Stencil, 5
186000, 16, refs, rand, Stencil, 6
187000, 16, refs, rand, Stencil, 7
146000, 16, refs, rand, Stencil, 8
151000, 16, refs, rand, Stencil, 9
221000, 32, refs, linear, Flow, 0
288000, 32, refs, linear, Flow, 1
288000, 32, refs, linear, Flow, 2
304000, 32, refs, linear, Flow, 3
229000, 32, refs, linear, Flow, 4
230000, 32, refs, linear, Flow, 5
228000, 32, refs, linear, Flow, 6
228000, 32, refs, linear, Flow, 7
246000, 32, refs, linear, Flow, 8
261000, 32, refs, linear, Flow, 9
99000, 32, refs, linear, Native, 0
104000, 32, refs, linear, Native, 1
376000, 32, refs, linear, Native, 2
630000, 32, refs, linear, Native, 3
160000, 32, refs, linear, Native, 4
117000, 32, refs, linear, Native, 5
109000, 32, refs, linear, Native, 6
96000, 32, refs, linear, Native, 7
93000, 32, refs, linear, Native, 8
93000, 32, refs, linear, Native, 9
262000, 32, refs, linear, Synth, 0
160000, 32, refs, linear, Synth, 1
216000, 32, refs, linear, Synth, 2
162000, 32, refs, linear, Synth, 3
147000, 32, refs, linear, Synth, 4
143000, 32, refs, linear, Synth, 5
144000, 32, refs, linear, Synth, 6
146000, 32, refs, linear, Synth, 7
169000, 32, refs, linear, Synth, 8
141000, 32, refs, linear, Synth, 9
194000, 32, refs, linear, Stencil, 0
199000, 32, refs, linear, Stencil, 1
200000, 32, refs, linear, Stencil, 2
256000, 32, refs, linear, Stencil, 3
228000, 32, refs, linear, Stencil, 4
194000, 32, refs, linear, Stencil, 5
208000, 32, refs, linear, Stencil, 6
255000, 32, refs, linear, Stencil, 7
255000, 32, refs, linear, Stencil, 8
253000, 32, refs, linear, Stencil, 9
225000, 32, refs, rand, Flow, 0
223000, 32, refs, rand, Flow, 1
242000, 32, refs, rand, Flow, 2
224000, 32, refs, rand, Flow, 3
226000, 32, refs, rand, Flow, 4
223000, 32, refs, rand, Flow, 5
223000, 32, refs, rand, Flow, 6
226000, 32, refs, rand, Flow, 7
225000, 32, refs, rand, Flow, 8
241000, 32, refs, rand, Flow, 9
75000, 32, refs, rand, Native, 0
93000, 32, refs, rand, Native, 1
66000, 32, refs, rand, Native, 2
140000, 32, refs, rand, Native, 3
73000, 32, refs, rand, Native, 4
177000, 32, refs, rand, Native, 5
156000, 32, refs, rand, Native, 6
139000, 32, refs, rand, Native, 7
138000, 32, refs, rand, Native, 8
139000, 32, refs, rand, Native, 9
201000, 32, refs, rand, Synth, 0
202000, 32, refs, rand, Synth, 1
268000, 32, refs, rand, Synth, 2
201000, 32, refs, rand, Synth, 3
203000, 32, refs, rand, Synth, 4
202000, 32, refs, rand, Synth, 5
200000, 32, refs, rand, Synth, 6
200000, 32, refs, rand, Synth, 7
200000, 32, refs, rand, Synth, 8
203000, 32, refs, rand, Synth, 9
254000, 32, refs, rand, Stencil, 0
255000, 32, refs, rand, Stencil, 1
254000, 32, refs, rand, Stencil, 2
251000, 32, refs, rand, Stencil, 3
254000, 32, refs, rand, Stencil, 4
253000, 32, refs, rand, Stencil, 5
253000, 32, refs, rand, Stencil, 6
252000, 32, refs, rand, Stencil, 7
255000, 32, refs, rand, Stencil, 8
255000, 32, refs, rand, Stencil, 9
288000, 64, refs, linear, Flow, 0
380000, 64, refs, linear, Flow, 1
375000, 64, refs, linear, Flow, 2
383000, 64, refs, linear, Flow, 3
454000, 64, refs, linear, Flow, 4
385000, 64, refs, linear, Flow, 5
406000, 64, refs, linear, Flow, 6
380000, 64, refs, linear, Flow, 7
382000, 64, refs, linear, Flow, 8
249000, 64, refs, linear, Flow, 9
98000, 64, refs, linear, Native, 0
91000, 64, refs, linear, Native, 1
235000, 64, refs, linear, Native, 2
234000, 64, refs, linear, Native, 3
221000, 64, refs, linear, Native, 4
235000, 64, refs, linear, Native, 5
246000, 64, refs, linear, Native, 6
233000, 64, refs, linear, Native, 7
237000, 64, refs, linear, Native, 8
242000, 64, refs, linear, Native, 9
465000, 64, refs, linear, Synth, 0
406000, 64, refs, linear, Synth, 1
352000, 64, refs, linear, Synth, 2
353000, 64, refs, linear, Synth, 3
355000, 64, refs, linear, Synth, 4
354000, 64, refs, linear, Synth, 5
352000, 64, refs, linear, Synth, 6
354000, 64, refs, linear, Synth, 7
347000, 64, refs, linear, Synth, 8
352000, 64, refs, linear, Synth, 9
441000, 64, refs, linear, Stencil, 0
439000, 64, refs, linear, Stencil, 1
443000, 64, refs, linear, Stencil, 2
458000, 64, refs, linear, Stencil, 3
438000, 64, refs, linear, Stencil, 4
456000, 64, refs, linear, Stencil, 5
507000, 64, refs, linear, Stencil, 6
441000, 64, refs, linear, Stencil, 7
436000, 64, refs, linear, Stencil, 8
439000, 64, refs, linear, Stencil, 9
247000, 64, refs, rand, Flow, 0
414000, 64, refs, rand, Flow, 1
383000, 64, refs, rand, Flow, 2
249000, 64, refs, rand, Flow, 3
248000, 64, refs, rand, Flow, 4
243000, 64, refs, rand, Flow, 5
245000, 64, refs, rand, Flow, 6
245000, 64, refs, rand, Flow, 7
248000, 64, refs, rand, Flow, 8
246000, 64, refs, rand, Flow, 9
87000, 64, refs, rand, Native, 0
86000, 64, refs, rand, Native, 1
87000, 64, refs, rand, Native, 2
88000, 64, refs, rand, Native, 3
87000, 64, refs, rand, Native, 4
89000, 64, refs, rand, Native, 5
231000, 64, refs, rand, Native, 6
232000, 64, refs, rand, Native, 7
239000, 64, refs, rand, Native, 8
235000, 64, refs, rand, Native, 9
343000, 64, refs, rand, Synth, 0
219000, 64, refs, rand, Synth, 1
346000, 64, refs, rand, Synth, 2
345000, 64, refs, rand, Synth, 3
344000, 64, refs, rand, Synth, 4
431000, 64, refs, rand, Synth, 5
246000, 64, refs, rand, Synth, 6
347000, 64, refs, rand, Synth, 7
346000, 64, refs, rand, Synth, 8
347000, 64, refs, rand, Synth, 9
434000, 64, refs, rand, Stencil, 0
430000, 64, refs, rand, Stencil, 1
433000, 64, refs, rand, Stencil, 2
428000, 64, refs, rand, Stencil, 3
431000, 64, refs, rand, Stencil, 4
428000, 64, refs, rand, Stencil, 5
431000, 64, refs, rand, Stencil, 6
315000, 64, refs, rand, Stencil, 7
334000, 64, refs, rand, Stencil, 8
310000, 64, refs, rand, Stencil, 9
468000, 128, refs, linear, Flow, 0
478000, 128, refs, linear, Flow, 1
703000, 128, refs, linear, Flow, 2
703000, 128, refs, linear, Flow, 3
717000, 128, refs, linear, Flow, 4
750000, 128, refs, linear, Flow, 5
720000, 128, refs, linear, Flow, 6
703000, 128, refs, linear, Flow, 7
713000, 128, refs, linear, Flow, 8
701000, 128, refs, linear, Flow, 9
409000, 128, refs, linear, Native, 0
388000, 128, refs, linear, Native, 1
378000, 128, refs, linear, Native, 2
394000, 128, refs, linear, Native, 3
405000, 128, refs, linear, Native, 4
395000, 128, refs, linear, Native, 5
175000, 128, refs, linear, Native, 6
399000, 128, refs, linear, Native, 7
395000, 128, refs, linear, Native, 8
393000, 128, refs, linear, Native, 9
651000, 128, refs, linear, Synth, 0
642000, 128, refs, linear, Synth, 1
700000, 128, refs, linear, Synth, 2
643000, 128, refs, linear, Synth, 3
645000, 128, refs, linear, Synth, 4
765000, 128, refs, linear, Synth, 5
402000, 128, refs, linear, Synth, 6
648000, 128, refs, linear, Synth, 7
649000, 128, refs, linear, Synth, 8
646000, 128, refs, linear, Synth, 9
914000, 128, refs, linear, Stencil, 0
555000, 128, refs, linear, Stencil, 1
555000, 128, refs, linear, Stencil, 2
549000, 128, refs, linear, Stencil, 3
826000, 128, refs, linear, Stencil, 4
791000, 128, refs, linear, Stencil, 5
793000, 128, refs, linear, Stencil, 6
791000, 128, refs, linear, Stencil, 7
795000, 128, refs, linear, Stencil, 8
792000, 128, refs, linear, Stencil, 9
709000, 128, refs, rand, Flow, 0
715000, 128, refs, rand, Flow, 1
750000, 128, refs, rand, Flow, 2
711000, 128, refs, rand, Flow, 3
469000, 128, refs, rand, Flow, 4
710000, 128, refs, rand, Flow, 5
706000, 128, refs, rand, Flow, 6
706000, 128, refs, rand, Flow, 7
702000, 128, refs, rand, Flow, 8
707000, 128, refs, rand, Flow, 9
393000, 128, refs, rand, Native, 0
392000, 128, refs, rand, Native, 1
348000, 128, refs, rand, Native, 2
397000, 128, refs, rand, Native, 3
433000, 128, refs, rand, Native, 4
388000, 128, refs, rand, Native, 5
398000, 128, refs, rand, Native, 6
400000, 128, refs, rand, Native, 7
431000, 128, refs, rand, Native, 8
394000, 128, refs, rand, Native, 9
651000, 128, refs, rand, Synth, 0
649000, 128, refs, rand, Synth, 1
470000, 128, refs, rand, Synth, 2
662000, 128, refs, rand, Synth, 3
642000, 128, refs, rand, Synth, 4
409000, 128, refs, rand, Synth, 5
665000, 128, refs, rand, Synth, 6
401000, 128, refs, rand, Synth, 7
649000, 128, refs, rand, Synth, 8
644000, 128, refs, rand, Synth, 9
793000, 128, refs, rand, Stencil, 0
796000, 128, refs, rand, Stencil, 1
892000, 128, refs, rand, Stencil, 2
781000, 128, refs, rand, Stencil, 3
892000, 128, refs, rand, Stencil, 4
793000, 128, refs, rand, Stencil, 5
793000, 128, refs, rand, Stencil, 6
832000, 128, refs, rand, Stencil, 7
789000, 128, refs, rand, Stencil, 8
915000, 128, refs, rand, Stencil, 9
929000, 256, refs, linear, Flow, 0
945000, 256, refs, linear, Flow, 1
901000, 256, refs, linear, Flow, 2
891000, 256, refs, linear, Flow, 3
896000, 256, refs, linear, Flow, 4
939000, 256, refs, linear, Flow, 5
983000, 256, refs, linear, Flow, 6
1034000, 256, refs, linear, Flow, 7
988000, 256, refs, linear, Flow, 8
943000, 256, refs, linear, Flow, 9
229000, 256, refs, linear, Native, 0
258000, 256, refs, linear, Native, 1
223000, 256, refs, linear, Native, 2
853000, 256, refs, linear, Native, 3
227000, 256, refs, linear, Native, 4
254000, 256, refs, linear, Native, 5
224000, 256, refs, linear, Native, 6
251000, 256, refs, linear, Native, 7
223000, 256, refs, linear, Native, 8
298000, 256, refs, linear, Native, 9
777000, 256, refs, linear, Synth, 0
793000, 256, refs, linear, Synth, 1
790000, 256, refs, linear, Synth, 2
802000, 256, refs, linear, Synth, 3
780000, 256, refs, linear, Synth, 4
1190000, 256, refs, linear, Synth, 5
1171000, 256, refs, linear, Synth, 6
801000, 256, refs, linear, Synth, 7
1162000, 256, refs, linear, Synth, 8
785000, 256, refs, linear, Synth, 9
1041000, 256, refs, linear, Stencil, 0
1562000, 256, refs, linear, Stencil, 1
1379000, 256, refs, linear, Stencil, 2
1135000, 256, refs, linear, Stencil, 3
1526000, 256, refs, linear, Stencil, 4
1485000, 256, refs, linear, Stencil, 5
1438000, 256, refs, linear, Stencil, 6
1430000, 256, refs, linear, Stencil, 7
1438000, 256, refs, linear, Stencil, 8
1434000, 256, refs, linear, Stencil, 9
1289000, 256, refs, rand, Flow, 0
1309000, 256, refs, rand, Flow, 1
1021000, 256, refs, rand, Flow, 2
912000, 256, refs, rand, Flow, 3
914000, 256, refs, rand, Flow, 4
1060000, 256, refs, rand, Flow, 5
1407000, 256, refs, rand, Flow, 6
1385000, 256, refs, rand, Flow, 7
1406000, 256, refs, rand, Flow, 8
1304000, 256, refs, rand, Flow, 9
221000, 256, refs, rand, Native, 0
494000, 256, refs, rand, Native, 1
288000, 256, refs, rand, Native, 2
672000, 256, refs, rand, Native, 3
